DaysMedia,Ideology,VotingDuty,TrustPeople,AttendServices,Education,RoughProtestors,Feminist,HuffPostNews,FoxNewsWeb,GunsOwned,ClintonPostFT,TrumpPostFT,FundamentalistFT,FeministFT,PoorFT,BigBizFT,RichFT,PoliceFT,ScientistFT,BLMFT,WeedLegal,WomenHome,ObamaMuslim
5,4,4,2,2,11,3,3,-9,-9,-9,0,60,50,50,50,50,60,85,50,40,2,4,10
7,5,1,2,-1,9,5,3,0,1,0,0,85,85,0,70,70,70,85,50,70,1,1,1
3,99,7,3,-1,9,5,3,-1,-1,4,100,0,60,50,70,60,30,90,998,30,1,2,4
5,4,1,4,3,95,5,3,0,0,1,40,0,999,50,70,40,40,60,60,50,2,4,-8
6,4,4,3,1,9,2,3,-1,-1,5,60,15,70,60,60,70,998,85,998,85,2,2,4
7,4,1,3,3,11,5,3,-1,-1,0,0,100,70,50,100,100,70,85,100,0,2,2,1
7,4,1,4,-1,13,1,2,1,0,0,15,15,0,60,85,0,0,50,100,85,1,4,10
6,4,7,2,4,13,1,2,-1,-1,0,60,30,60,70,100,60,40,70,100,100,1,1,9
7,1,1,2,-1,13,1,2,0,0,0,75,0,10,90,90,20,15,50,80,75,1,4,10
7,99,7,4,1,13,3,3,-1,-1,1,40,60,60,60,50,60,50,70,60,70,3,4,3
7,7,6,4,-1,10,3,3,-1,-1,0,0,85,100,50,100,70,100,100,70,50,2,2,-8
6,5,1,3,4,9,5,2,0,0,10,0,85,100,70,85,85,85,100,85,0,1,1,9
7,2,2,2,-1,14,1,2,0,0,5,70,0,15,100,100,15,50,70,100,85,1,4,10
7,6,7,2,1,14,3,3,-1,-1,0,0,70,50,40,70,70,60,85,85,0,2,4,6
5,1,7,4,-1,9,3,3,-1,-1,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
6,99,6,4,1,10,3,2,-1,-1,0,0,85,50,50,70,50,50,70,50,40,3,1,-8
3,5,4,4,-1,7,3,3,-1,-1,0,100,0,85,15,85,70,70,85,70,70,1,1,6
7,2,1,3,-1,13,1,1,1,1,4,60,0,30,85,85,30,50,998,100,70,1,4,10
1,4,6,3,-1,9,4,3,-1,-1,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,6,1,2,1,9,5,3,-1,-1,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
4,5,1,3,1,13,1,-9,0,1,0,85,0,50,70,-9,30,50,60,100,70,2,-8,8
7,3,4,4,-1,13,1,3,0,0,-9,60,30,15,40,50,40,15,30,85,0,1,3,10
5,5,1,2,-1,4,3,3,-1,-1,-9,100,70,85,100,100,85,85,100,100,999,3,1,-8
7,2,1,2,-1,13,4,1,0,0,0,85,0,0,100,100,50,70,100,100,85,3,7,10
5,99,4,3,4,10,2,3,0,1,5,40,40,999,50,60,30,50,70,50,30,3,4,10
0,2,2,3,3,9,1,3,-1,-1,0,85,50,60,50,60,85,70,50,85,100,1,1,9
7,2,6,2,-1,13,1,2,-1,-1,4,60,15,15,60,60,30,40,70,85,60,1,4,10
7,4,1,2,4,10,3,3,0,1,0,0,100,50,40,70,50,70,85,85,0,3,4,6
7,4,6,3,-1,11,5,3,0,1,0,30,70,60,50,85,40,50,85,85,30,1,5,8
5,4,1,3,-1,10,1,2,0,0,0,70,70,70,60,70,15,70,15,85,0,1,4,3
5,4,2,4,4,11,1,3,0,1,0,30,70,60,30,50,15,50,100,100,40,1,4,3
6,6,1,2,-1,11,2,3,0,0,0,0,85,50,85,85,60,70,100,70,30,2,1,6
7,2,1,2,1,14,2,2,0,1,0,100,30,40,70,85,40,50,85,85,100,2,4,3
7,1,6,3,-1,13,1,1,1,0,0,85,0,0,100,85,30,60,40,100,100,1,4,10
2,99,4,3,-1,8,2,3,-1,-1,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
5,2,7,4,-1,13,1,2,1,0,0,40,30,30,70,100,40,40,60,100,70,1,4,9
3,6,1,4,2,9,3,3,-1,-1,2,100,0,60,60,0,60,70,70,85,100,1,1,10
5,6,1,3,3,9,1,2,1,0,2,0,15,50,60,70,60,70,70,70,70,3,1,-8
7,99,4,3,-1,10,3,3,0,0,0,50,60,50,50,50,30,0,85,70,0,1,7,-8
5,5,4,2,1,13,-9,-9,-1,-1,-9,15,85,70,50,100,70,50,100,85,0,2,4,-8
5,4,1,3,1,14,1,2,-1,-1,0,60,30,80,50,80,50,70,80,70,80,2,4,9
7,4,1,2,4,10,4,3,-1,-1,8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
7,4,4,3,-1,10,3,3,-1,-1,0,85,0,50,30,60,40,30,60,85,50,3,-9,-9
7,5,4,3,2,13,4,2,1,1,0,0,70,50,15,50,30,50,15,50,0,3,4,4
7,99,6,4,3,12,4,3,0,0,0,40,85,70,50,50,60,60,100,85,50,1,1,3
